Rodada,Jogo,Palpite_Time1,Palpite_Time2
1,SC Internacional vs EC Bahia,1,2
1,Criciúma EC vs EC Juventude,3,1
1,Fluminense FC vs RB Bragantino,2,2
1,São Paulo FC vs Fortaleza EC,1,2
1,CR Vasco da Gama vs Grêmio FBPA,2,1
1,SC Corinthians Paulista vs CA Mineiro,2,1
1,CA Paranaense vs Cuiabá EC,2,1
1,AC Goianiense vs CR Flamengo,1,2
1,Cruzeiro EC vs Botafogo FR,2,1
1,EC Vitória vs SE Palmeiras,2,1
2,EC Bahia vs Fluminense FC,1,3
2,RB Bragantino vs CR Vasco da Gama,2,1
2,Grêmio FBPA vs CA Paranaense,2,1
2,CA Mineiro vs Criciúma EC,2,1
2,Fortaleza EC vs Cruzeiro EC,1,1
2,EC Juventude vs SC Corinthians Paulista,2,4
2,SE Palmeiras vs SC Internacional,4,1
2,CR Flamengo vs São Paulo FC,2,1
2,Botafogo FR vs AC Goianiense,1,2
2,Cuiabá EC vs EC Vitória,1,2
